sic8,is_1to1_NAICS,Description,Baseline_Subindustry,Division,span_warn,Crosslisting,L1,L2,L3,L4,NAICS_Suggestion,METRO_ACS0812,NAICS,Notes,Baseline_Type,SIC4,SIC2,bundle_rep,flag____,strong,exists,misuse_warn,disfavored_warn,dubious_warn,ambiguous_warn
26790206,N,"Utensils, pressed and molded pulp: from purchased ","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790300,N,Wallpaper,"",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790402,N,"Tags, paper (unprinted): made from purchased paper","",Manufacturing,0,,NEC,GOODS,MSPEC,PAPER,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790500,N,"Gift wrap and novelties, paper","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790501,N,Confetti: made from purchased material,"",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790502,N,Crepe paper or crepe paper products: purchased mat,"",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26760104,Y,Toilet paper: made from purchased paper,"",Manufacturing,0,,CLEAN,ROUTINE.G,EOP,EOP,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26790104,N,"Pipes and fittings, fiber: made from purchased mat","",Manufacturing,0,,CON,OCON,MEP,PLUMB.G,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
27599906,N,"Engraving, nec","",Manufacturing,0,,,,,,,,,,"",2759,27,1,N,Y,Y,0,0,0,0
26780000,Y,Stationery products,"",Manufacturing,0,,NEC,GOODS,OFFICE,PAPER,,,"",,"",2678,26,1,N,Y,Y,0,0,0,0
26760105,Y,"Towels, paper: made from purchased paper","",Manufacturing,0,,NEC,GOODS,MSPEC,PAPER,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26760103,Y,"Napkins, paper: made from purchased paper","",Manufacturing,0,,NEC,GOODS,MSPEC,PAPER,,,"",,"",2676,26,1,N,Y,Y,0,0,0,0
26790100,N,"Pressed fiber and molded pulp products, except foo","",Manufacturing,0,,NEC,GOODS,MSPEC,PAPER,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790503,N,"Doilies, paper: made from purchased material","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790504,N,"Gift wrap, paper: made from purchased material","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
26790505,N,"Hats, paper novelties: made from purchased paper","",Manufacturing,0,,,,,,,,,,"",2679,26,1,N,Y,Y,0,0,0,0
